
Track
Longitude , Offset    , Lanes     
0.00      , 0.00      , 2.00      
25.00     , 0.00      , 2.00      
50.00     , 0.00      , 2.00      
75.00     , 0.00      , 2.00      
100.00    , 0.00      , 3.00      
125.00    , 0.00      , 3.00      
150.00    , 0.00      , 3.00      
175.00    , 0.00      , 3.00      
200.00    , 0.00      , 3.00      
225.00    , 0.00      , 3.00      
250.00    , 0.00      , 4.00      
275.00    , 0.00      , 4.00      
300.00    , 0.00      , 4.00      
325.00    , 0.00      , 4.00      
350.00    , 0.00      , 4.00      
375.00    , 0.00      , 4.00      
400.00    , 0.00      , 4.00      
425.00    , 0.00      , 4.00      
450.00    , 0.00      , 4.00      
475.00    , 0.00      , 4.00      
500.00    , 0.00      , 3.00      
525.00    , 0.00      , 3.00      
550.00    , 0.00      , 3.00      
575.00    , 0.00      , 3.00      
600.00    , 0.00      , 3.00      
625.00    , 0.00      , 3.00      
650.00    , 0.00      , 3.00      
675.00    , 1.00      , 3.00      
700.00    , 1.00      , 3.00      
725.00    , 1.00      , 3.00      
-----

Trajectory: Ego
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 0.00   , 0.00   , 0.00   , 19.25  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 48.12  , 0.00   , 0.00   , 19.25  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 96.24  , 0.00   , 0.00   , 19.25  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 144.37 , 0.00   , 0.00   , 19.25  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 192.49 , 0.00   , 0.00   , 19.25  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 240.61 , 0.00   , 0.00   , 19.25  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 288.73 , 0.00   , 0.00   , 19.25  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 336.85 , 0.00   , 0.00   , 19.25  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 384.98 , 0.00   , 0.00   , 19.25  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 426.15 , 3.50   , 0.00   , 16.47  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 467.33 , 3.50   , 0.00   , 16.47  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 508.51 , 3.50   , 0.00   , 16.47  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 549.68 , 3.50   , 0.00   , 16.47  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 590.86 , 3.50   , 0.00   , 16.47  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 632.04 , 3.50   , 0.00   , 16.47  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 673.22 , 3.50   , 0.00   , 16.47  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 714.39 , 3.50   , 0.00   , 16.47  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 755.57 , 3.50   , 0.00   , 16.47  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_1
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , -94.82 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , -43.33 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 8.17   , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 59.66  , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 111.16 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 162.65 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 214.14 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 265.64 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 317.13 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 368.63 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 420.12 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 471.61 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 523.11 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 574.60 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 626.10 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 677.59 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 729.09 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 780.58 , 3.50   , 0.00   , 20.60  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_2
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 186.71 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 221.80 , 0.00   , 0.00   , 14.04  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 256.90 , 0.00   , 0.00   , 14.04  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 291.99 , 0.00   , 0.00   , 14.04  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 327.08 , 0.00   , 0.00   , 14.04  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 355.23 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 383.38 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 411.53 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 439.68 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 467.83 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 495.98 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 524.13 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 552.28 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 580.43 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 608.58 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 636.73 , 0.00   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 664.88 , 3.50   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 693.03 , 3.50   , 0.00   , 11.26  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

