
Track
Longitude , Offset    , Lanes     
0.00      , 1.00      , 3.00      
25.00     , 1.00      , 3.00      
50.00     , 1.00      , 3.00      
75.00     , 1.00      , 3.00      
100.00    , 1.00      , 3.00      
125.00    , 2.00      , 3.00      
150.00    , 2.00      , 3.00      
175.00    , 2.00      , 3.00      
200.00    , 2.00      , 3.00      
225.00    , 2.00      , 3.00      
250.00    , 2.00      , 3.00      
275.00    , 2.00      , 3.00      
300.00    , 2.00      , 3.00      
325.00    , 2.00      , 3.00      
350.00    , 2.00      , 3.00      
375.00    , 2.00      , 3.00      
400.00    , 2.00      , 3.00      
425.00    , 2.00      , 3.00      
450.00    , 2.00      , 3.00      
475.00    , 2.00      , 3.00      
500.00    , 2.00      , 3.00      
525.00    , 2.00      , 3.00      
550.00    , 2.00      , 3.00      
575.00    , 2.00      , 3.00      
600.00    , 2.00      , 3.00      
625.00    , 2.00      , 3.00      
650.00    , 2.00      , 3.00      
675.00    , 1.00      , 3.00      
700.00    , 1.00      , 3.00      
725.00    , 1.00      , 3.00      
-----

Trajectory: Ego
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 0.00   , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 51.41  , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 102.82 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 154.23 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 205.64 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 257.05 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 308.46 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 359.87 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 411.28 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 462.69 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 514.10 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 565.51 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 616.92 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 668.34 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 719.75 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 771.16 , 10.50  , 0.00   , 20.56  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_1
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 233.05 , 14.00  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 283.00 , 14.00  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 332.95 , 14.00  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 382.89 , 14.00  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 432.84 , 14.00  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 482.78 , 14.00  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 532.73 , 14.00  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 582.67 , 14.00  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 632.62 , 14.00  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 682.56 , 10.50  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 732.51 , 10.50  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 782.45 , 10.50  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 832.40 , 10.50  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 882.34 , 10.50  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 932.29 , 10.50  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 982.24 , 10.50  , 0.00   , 19.98  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_2
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 124.07 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 175.37 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 226.66 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 277.96 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 329.26 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 380.55 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 431.85 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 483.15 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 534.44 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 585.74 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 637.04 , 14.00  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 688.33 , 10.50  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 739.63 , 10.50  , 0.00   , 20.52  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 783.98 , 10.50  , 0.00   , 17.74  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 828.33 , 10.50  , 0.00   , 17.74  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 872.69 , 10.50  , 0.00   , 17.74  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_3
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 236.12 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 275.30 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 314.47 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 353.65 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 392.82 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 432.00 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 471.18 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 510.35 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 549.53 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 588.71 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 627.88 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 667.06 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 706.24 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 745.41 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 784.59 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 823.77 , 7.00   , 0.00   , 15.67  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_4
