
Track
Longitude , Offset    , Lanes     
0.00      , 1.00      , 2.00      
25.00     , 1.00      , 2.00      
50.00     , 1.00      , 2.00      
75.00     , 1.00      , 2.00      
100.00    , 1.00      , 2.00      
125.00    , 1.00      , 2.00      
150.00    , 1.00      , 2.00      
175.00    , 1.00      , 2.00      
200.00    , 1.00      , 2.00      
225.00    , 2.00      , 2.00      
250.00    , 2.00      , 2.00      
275.00    , 2.00      , 2.00      
300.00    , 2.00      , 2.00      
325.00    , 2.00      , 2.00      
350.00    , 2.00      , 3.00      
375.00    , 2.00      , 3.00      
400.00    , 2.00      , 3.00      
425.00    , 2.00      , 3.00      
450.00    , 2.00      , 3.00      
475.00    , 1.00      , 3.00      
500.00    , 1.00      , 3.00      
525.00    , 1.00      , 3.00      
550.00    , 1.00      , 3.00      
575.00    , 1.00      , 3.00      
600.00    , 1.00      , 3.00      
625.00    , 1.00      , 3.00      
650.00    , 1.00      , 3.00      
675.00    , 1.00      , 3.00      
700.00    , 1.00      , 3.00      
725.00    , 1.00      , 3.00      
-----

Trajectory: Ego
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 0.00   , 3.50   , 0.00   , 16.64  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 41.61  , 3.50   , 0.00   , 16.64  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 83.22  , 3.50   , 0.00   , 16.64  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 124.84 , 3.50   , 0.00   , 16.64  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 166.45 , 3.50   , 0.00   , 16.64  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 208.06 , 7.00   , 0.00   , 16.64  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 256.62 , 7.00   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 305.17 , 7.00   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 353.73 , 7.00   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 402.29 , 7.00   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 450.84 , 7.00   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 499.40 , 7.00   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 547.96 , 7.00   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 596.51 , 7.00   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 645.07 , 7.00   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 693.63 , 3.50   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 742.18 , 3.50   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 790.74 , 3.50   , 0.00   , 19.42  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_1
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 19.00  , 3.50   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 58.89  , 3.50   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 98.78  , 3.50   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 138.67 , 3.50   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 178.56 , 3.50   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 218.46 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 258.35 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 298.24 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 338.13 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 378.02 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 417.92 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 457.81 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 497.70 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 537.59 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 577.48 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 617.38 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 657.27 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 697.16 , 7.00   , 0.00   , 15.96  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_2
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 106.18 , 3.50   , 0.00   , 16.92  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 148.48 , 3.50   , 0.00   , 16.92  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 190.79 , 3.50   , 0.00   , 16.92  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 233.09 , 7.00   , 0.00   , 16.92  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 275.40 , 7.00   , 0.00   , 16.92  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 317.70 , 7.00   , 0.00   , 16.92  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 360.01 , 7.00   , 0.00   , 16.92  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 402.31 , 7.00   , 0.00   , 16.92  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 444.62 , 7.00   , 0.00   , 16.92  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 479.98 , 7.00   , 0.00   , 14.14  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 515.34 , 7.00   , 0.00   , 14.14  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 550.70 , 7.00   , 0.00   , 14.14  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 586.06 , 7.00   , 0.00   , 14.14  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 621.42 , 7.00   , 0.00   , 14.14  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 656.78 , 7.00   , 0.00   , 14.14  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 692.14 , 7.00   , 0.00   , 14.14  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 727.50 , 7.00   , 0.00   , 14.14  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 762.86 , 7.00   , 0.00   , 14.14  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_3
